week_end,week_last_trade_date,regime_filtered,regime_viterbi,split
2015-08-28,2015-08-28,0,0,internal_train
2015-09-04,2015-09-04,0,0,internal_train
2015-09-11,2015-09-11,0,0,internal_train
2015-09-18,2015-09-18,0,0,internal_train
2015-09-25,2015-09-25,0,0,internal_train
2015-10-02,2015-10-02,0,0,internal_train
2015-10-09,2015-10-09,0,0,internal_train
2015-10-16,2015-10-16,0,1,internal_train
2015-10-23,2015-10-23,1,1,internal_train
2015-10-30,2015-10-30,1,1,internal_train
2015-11-06,2015-11-06,1,1,internal_train
2015-11-13,2015-11-13,1,1,internal_train
2015-11-20,2015-11-20,1,1,internal_train
2015-11-27,2015-11-27,1,1,internal_train
2015-12-04,2015-12-04,1,1,internal_train
2015-12-11,2015-12-11,0,0,internal_train
2015-12-18,2015-12-18,0,0,internal_train
2015-12-25,2015-12-24,1,0,internal_train
2016-01-01,2015-12-31,1,0,internal_train
2016-01-08,2016-01-08,0,0,internal_train
2016-01-15,2016-01-15,0,0,internal_train
2016-01-22,2016-01-22,0,0,internal_train
2016-01-29,2016-01-29,0,0,internal_train
2016-02-05,2016-02-05,0,0,internal_train
2016-02-12,2016-02-12,0,0,internal_train
2016-02-19,2016-02-19,0,0,internal_train
2016-02-26,2016-02-26,0,0,internal_train
2016-03-04,2016-03-04,0,0,internal_train
2016-03-11,2016-03-11,0,1,internal_train
2016-03-18,2016-03-18,1,1,internal_train
2016-03-25,2016-03-24,1,1,internal_train
2016-04-01,2016-04-01,1,1,internal_train
2016-04-08,2016-04-08,1,1,internal_train
2016-04-15,2016-04-15,1,1,internal_train
2016-04-22,2016-04-22,1,1,internal_train
2016-04-29,2016-04-29,1,1,internal_train
2016-05-06,2016-05-06,1,1,internal_train
2016-05-13,2016-05-13,1,1,internal_train
2016-05-20,2016-05-20,1,1,internal_train
2016-05-27,2016-05-27,1,1,internal_train
2016-06-03,2016-06-03,1,1,internal_train
2016-06-10,2016-06-10,1,1,internal_train
2016-06-17,2016-06-17,1,1,internal_train
2016-06-24,2016-06-24,0,0,internal_train
2016-07-01,2016-07-01,0,0,internal_train
2016-07-08,2016-07-08,0,0,internal_train
2016-07-15,2016-07-15,0,1,internal_train
2016-07-22,2016-07-22,1,1,internal_train
2016-07-29,2016-07-29,1,1,internal_train
2016-08-05,2016-08-05,1,1,internal_train
2016-08-12,2016-08-12,1,1,internal_train
2016-08-19,2016-08-19,1,1,internal_train
2016-08-26,2016-08-26,1,1,internal_train
2016-09-02,2016-09-02,1,1,internal_train
2016-09-09,2016-09-09,1,1,internal_train
2016-09-16,2016-09-16,1,1,internal_train
2016-09-23,2016-09-23,1,1,internal_train
2016-09-30,2016-09-30,1,1,internal_train
2016-10-07,2016-10-07,1,1,internal_train
2016-10-14,2016-10-14,1,1,internal_train
2016-10-21,2016-10-21,1,1,internal_train
2016-10-28,2016-10-28,1,1,internal_train
2016-11-04,2016-11-04,1,1,internal_train
2016-11-11,2016-11-11,1,1,internal_train
2016-11-18,2016-11-18,1,1,internal_train
2016-11-25,2016-11-25,1,1,internal_train
2016-12-02,2016-12-02,1,1,internal_train
2016-12-09,2016-12-09,1,1,internal_train
2016-12-16,2016-12-16,1,1,internal_train
2016-12-23,2016-12-23,1,1,internal_train
2016-12-30,2016-12-30,1,1,internal_train
2017-01-06,2017-01-06,1,1,internal_train
2017-01-13,2017-01-13,1,1,internal_train
2017-01-20,2017-01-20,1,1,internal_train
2017-01-27,2017-01-27,1,1,internal_train
2017-02-03,2017-02-03,1,1,internal_train
2017-02-10,2017-02-10,1,1,internal_train
2017-02-17,2017-02-17,1,1,internal_train
2017-02-24,2017-02-24,1,1,internal_train
2017-03-03,2017-03-03,1,1,internal_train
2017-03-10,2017-03-10,1,1,internal_train
2017-03-17,2017-03-17,1,1,internal_train
2017-03-24,2017-03-24,1,1,internal_train
2017-03-31,2017-03-31,1,1,internal_train
2017-04-07,2017-04-07,1,1,internal_train
2017-04-14,2017-04-13,1,1,internal_train
2017-04-21,2017-04-21,1,1,internal_train
2017-04-28,2017-04-28,1,1,internal_train
2017-05-05,2017-05-05,1,1,internal_train
2017-05-12,2017-05-12,1,1,internal_train
2017-05-19,2017-05-19,1,1,internal_train
2017-05-26,2017-05-26,1,1,internal_train
2017-06-02,2017-06-02,1,1,internal_train
2017-06-09,2017-06-09,1,1,internal_train
2017-06-16,2017-06-16,1,1,internal_train
2017-06-23,2017-06-23,1,1,internal_train
2017-06-30,2017-06-30,1,1,internal_train
2017-07-07,2017-07-07,1,1,internal_train
2017-07-14,2017-07-14,1,1,internal_train
2017-07-21,2017-07-21,1,1,internal_train
2017-07-28,2017-07-28,1,1,internal_train
2017-08-04,2017-08-04,1,1,internal_train
2017-08-11,2017-08-11,1,1,internal_train
2017-08-18,2017-08-18,1,1,internal_train
2017-08-25,2017-08-25,1,1,internal_train
2017-09-01,2017-09-01,1,1,internal_train
2017-09-08,2017-09-08,1,1,internal_train
2017-09-15,2017-09-15,1,1,internal_train
2017-09-22,2017-09-22,1,1,internal_train
2017-09-29,2017-09-29,1,1,internal_train
2017-10-06,2017-10-06,1,1,internal_train
2017-10-13,2017-10-13,1,1,internal_train
2017-10-20,2017-10-20,1,1,internal_train
2017-10-27,2017-10-27,1,1,internal_train
2017-11-03,2017-11-03,1,1,internal_train
2017-11-10,2017-11-10,1,1,internal_train
2017-11-17,2017-11-17,1,1,internal_train
2017-11-24,2017-11-24,1,1,internal_train
2017-12-01,2017-12-01,1,1,internal_train
2017-12-08,2017-12-08,1,1,internal_train
2017-12-15,2017-12-15,1,1,internal_train
2017-12-22,2017-12-22,1,1,internal_train
2017-12-29,2017-12-29,1,1,internal_train
2018-01-05,2018-01-05,1,1,internal_train
2018-01-12,2018-01-12,1,1,internal_train
2018-01-19,2018-01-19,1,1,internal_train
2018-01-26,2018-01-26,1,1,internal_train
2018-02-02,2018-02-02,1,1,internal_train
2018-02-09,2018-02-09,0,1,internal_train
2018-02-16,2018-02-16,0,1,internal_train
2018-02-23,2018-02-23,1,1,internal_train
2018-03-02,2018-03-02,1,1,internal_train
2018-03-09,2018-03-09,1,1,internal_train
2018-03-16,2018-03-16,1,1,internal_train
2018-03-23,2018-03-23,0,1,internal_train
2018-03-30,2018-03-29,1,1,internal_train
2018-04-06,2018-04-06,1,1,internal_train
2018-04-13,2018-04-13,1,1,internal_train
2018-04-20,2018-04-20,1,1,internal_train
2018-04-27,2018-04-27,1,1,internal_train
2018-05-04,2018-05-04,1,1,internal_train
2018-05-11,2018-05-11,1,1,internal_train
2018-05-18,2018-05-18,1,1,internal_train
2018-05-25,2018-05-25,1,1,internal_train
2018-06-01,2018-06-01,1,1,internal_train
2018-06-08,2018-06-08,1,1,internal_train
2018-06-15,2018-06-15,1,1,internal_train
2018-06-22,2018-06-22,1,1,internal_train
2018-06-29,2018-06-29,1,1,internal_train
2018-07-06,2018-07-06,1,1,internal_train
2018-07-13,2018-07-13,1,1,internal_train
2018-07-20,2018-07-20,1,1,internal_train
2018-07-27,2018-07-27,1,1,internal_train
2018-08-03,2018-08-03,1,1,internal_train
2018-08-10,2018-08-10,1,1,internal_train
2018-08-17,2018-08-17,1,1,internal_train
2018-08-24,2018-08-24,1,1,internal_train
2018-08-31,2018-08-31,1,1,internal_train
2018-09-07,2018-09-07,1,1,internal_train
2018-09-14,2018-09-14,1,1,internal_train
2018-09-21,2018-09-21,1,1,internal_train
2018-09-28,2018-09-28,1,1,internal_train
2018-10-05,2018-10-05,1,1,internal_train
2018-10-12,2018-10-12,1,1,internal_train
2018-10-19,2018-10-19,1,1,internal_train
2018-10-26,2018-10-26,1,1,internal_train
2018-11-02,2018-11-02,1,1,internal_train
2018-11-09,2018-11-09,1,1,internal_train
2018-11-16,2018-11-16,1,1,internal_train
2018-11-23,2018-11-23,1,1,internal_train
2018-11-30,2018-11-30,1,1,internal_train
2018-12-07,2018-12-07,0,0,internal_train
2018-12-14,2018-12-14,0,0,internal_train
2018-12-21,2018-12-21,0,0,internal_train
2018-12-28,2018-12-28,0,0,internal_train
2019-01-04,2019-01-04,0,0,internal_val
2019-01-11,2019-01-11,0,1,internal_val
2019-01-18,2019-01-18,1,1,internal_val
2019-01-25,2019-01-25,1,1,internal_val
2019-02-01,2019-02-01,1,1,internal_val
2019-02-08,2019-02-08,1,1,internal_val
2019-02-15,2019-02-15,1,1,internal_val
2019-02-22,2019-02-22,1,1,internal_val
2019-03-01,2019-03-01,1,1,internal_val
2019-03-08,2019-03-08,1,1,internal_val
2019-03-15,2019-03-15,1,1,internal_val
2019-03-22,2019-03-22,1,1,internal_val
2019-03-29,2019-03-29,1,1,internal_val
2019-04-05,2019-04-05,1,1,internal_val
2019-04-12,2019-04-12,1,1,internal_val
2019-04-19,2019-04-18,1,1,internal_val
2019-04-26,2019-04-26,1,1,internal_val
2019-05-03,2019-05-03,1,1,internal_val
2019-05-10,2019-05-10,1,1,internal_val
2019-05-17,2019-05-17,1,1,internal_val
2019-05-24,2019-05-24,1,1,internal_val
2019-05-31,2019-05-31,1,1,internal_val
2019-06-07,2019-06-07,1,1,internal_val
2019-06-14,2019-06-14,1,1,internal_val
2019-06-21,2019-06-21,1,1,internal_val
2019-06-28,2019-06-28,1,1,internal_val
2019-07-05,2019-07-05,1,1,internal_val
2019-07-12,2019-07-12,1,1,internal_val
2019-07-19,2019-07-19,1,1,internal_val
2019-07-26,2019-07-26,1,1,internal_val
2019-08-02,2019-08-02,1,0,internal_val
2019-08-09,2019-08-09,1,0,internal_val
2019-08-16,2019-08-16,0,0,internal_val
2019-08-23,2019-08-23,0,0,internal_val
2019-08-30,2019-08-30,0,0,internal_val
2019-09-06,2019-09-06,0,0,internal_val
2019-09-13,2019-09-13,0,0,internal_val
2019-09-20,2019-09-20,0,1,internal_val
2019-09-27,2019-09-27,1,1,internal_val
2019-10-04,2019-10-04,1,1,internal_val
2019-10-11,2019-10-11,1,1,internal_val
2019-10-18,2019-10-18,1,1,internal_val
2019-10-25,2019-10-25,1,1,internal_val
2019-11-01,2019-11-01,1,1,internal_val
2019-11-08,2019-11-08,1,1,internal_val
2019-11-15,2019-11-15,1,1,internal_val
2019-11-22,2019-11-22,1,1,internal_val
2019-11-29,2019-11-29,1,1,internal_val
2019-12-06,2019-12-06,1,1,internal_val
2019-12-13,2019-12-13,1,1,internal_val
2019-12-20,2019-12-20,1,1,internal_val
2019-12-27,2019-12-27,1,1,internal_val
2020-01-03,2020-01-03,1,1,internal_val
2020-01-10,2020-01-10,1,1,internal_val
2020-01-17,2020-01-17,1,1,internal_val
2020-01-24,2020-01-24,1,1,internal_val
2020-01-31,2020-01-31,1,1,internal_val
2020-02-07,2020-02-07,1,1,internal_val
2020-02-14,2020-02-14,1,1,internal_val
2020-02-21,2020-02-21,1,0,internal_val
2020-02-28,2020-02-28,0,0,internal_val
2020-03-06,2020-03-06,0,0,internal_val
2020-03-13,2020-03-13,0,0,internal_val
2020-03-20,2020-03-20,0,0,internal_val
2020-03-27,2020-03-27,0,0,internal_val
2020-04-03,2020-04-03,0,0,internal_val
2020-04-10,2020-04-09,0,0,internal_val
2020-04-17,2020-04-17,0,0,internal_val
2020-04-24,2020-04-24,0,0,internal_val
2020-05-01,2020-05-01,0,0,internal_val
2020-05-08,2020-05-08,0,0,internal_val
2020-05-15,2020-05-15,0,0,internal_val
2020-05-22,2020-05-22,0,0,internal_val
2020-05-29,2020-05-29,0,0,internal_val
2020-06-05,2020-06-05,0,0,internal_val
2020-06-12,2020-06-12,0,0,internal_val
2020-06-19,2020-06-19,0,0,internal_val
2020-06-26,2020-06-26,0,0,internal_val
2020-07-03,2020-07-02,0,0,internal_val
2020-07-10,2020-07-10,0,0,internal_val
2020-07-17,2020-07-17,0,0,internal_val
2020-07-24,2020-07-24,0,0,internal_val
2020-07-31,2020-07-31,0,0,internal_val
2020-08-07,2020-08-07,0,0,internal_val
2020-08-14,2020-08-14,0,0,internal_val
2020-08-21,2020-08-21,0,0,internal_val
2020-08-28,2020-08-28,0,0,internal_val
2020-09-04,2020-09-04,0,0,internal_val
2020-09-11,2020-09-11,0,0,internal_val
2020-09-18,2020-09-18,0,0,internal_val
2020-09-25,2020-09-25,0,0,internal_val
2020-10-02,2020-10-02,0,0,internal_val
2020-10-09,2020-10-09,0,0,internal_val
2020-10-16,2020-10-16,0,0,internal_val
2020-10-23,2020-10-23,0,0,internal_val
2020-10-30,2020-10-30,0,0,internal_val
2020-11-06,2020-11-06,0,0,internal_val
2020-11-13,2020-11-13,0,0,internal_val
2020-11-20,2020-11-20,0,0,internal_val
2020-11-27,2020-11-27,0,0,internal_val
2020-12-04,2020-12-04,0,0,internal_val
2020-12-11,2020-12-11,0,0,internal_val
2020-12-18,2020-12-18,0,0,internal_val
2020-12-25,2020-12-24,0,0,internal_val
